iter	RMSE
0	0.1568983475
1	0.152592103
2	0.1480832863
3	0.1439312458
4	0.1404540725
5	0.1372893142
6	0.1334150496
7	0.1299048387
8	0.1274716876
9	0.1249698572
10	0.1226031206
11	0.1209076809
12	0.1185153867
13	0.1163283043
14	0.1142736067
15	0.1126133211
16	0.110872359
17	0.1093749469
18	0.107739698
19	0.1063503412
20	0.105083122
21	0.1038362674
22	0.1028499617
23	0.1016187414
24	0.1004255066
25	0.09959105861
26	0.09848739242
27	0.09740685848
28	0.0970437764
29	0.09617120378
30	0.09517187059
31	0.09425778108
32	0.0932772273
33	0.09250968974
34	0.09174236233
35	0.09124620167
36	0.09085102322
37	0.09026822057
38	0.08966521505
39	0.08897238488
40	0.08835760151
41	0.08791017074
42	0.0873868764
43	0.08675156046
44	0.08636211313
45	0.08559227731
46	0.08518208999
47	0.08466905412
48	0.08400838653
49	0.08314392068
50	0.08254453343
51	0.08205087996
52	0.08177188789
53	0.08116427117
54	0.08073547121
55	0.08009722365
56	0.07951191805
57	0.07925091405
58	0.07868571394
59	0.07846315618
60	0.07794422335
61	0.07760283326
62	0.07700353387
63	0.07655713505
64	0.07596213203
65	0.07547559909
66	0.0751432842
67	0.07469443641
68	0.0740574165
69	0.0737711967
70	0.07330604771
71	0.07305263468
72	0.07267821361
73	0.07216864136
74	0.07191563434
75	0.07168114754
76	0.07141037746
77	0.07079058427
78	0.07049082672
79	0.07010986681
80	0.06977779902
81	0.06920156453
82	0.06897197023
83	0.06854225054
84	0.06823555555
85	0.06796500882
86	0.06742872377
87	0.06712410903
88	0.06666094654
89	0.06642342838
90	0.06612475903
91	0.06586782876
92	0.06563508135
93	0.06523075846
94	0.06492801729
95	0.06448965182
96	0.06416996045
97	0.06378228513
98	0.06337067547
99	0.06314003971
100	0.06282328281
101	0.06260008696
102	0.06241660702
103	0.06208395983
104	0.06182339832
105	0.06154305377
106	0.06125705731
107	0.06096203017
108	0.06060426143
109	0.06040359737
110	0.06022246143
111	0.06009927158
112	0.05984073551
113	0.05955027023
114	0.05936469516
115	0.05908629984
116	0.05883710175
117	0.05857958525
118	0.0582053576
119	0.05805495568
120	0.05774704391
121	0.05745401789
122	0.05722133833
123	0.05702001081
124	0.05688761397
125	0.05668331849
126	0.0564198503
127	0.05625669043
128	0.055903374
129	0.05564142807
130	0.0555174645
131	0.05529653697
132	0.05516939696
133	0.05502169884
134	0.0548274577
135	0.05470232308
136	0.0545074416
137	0.05404991696
138	0.05381406235
139	0.05367412569
140	0.05346897585
141	0.0532429658
142	0.05311946024
143	0.05290907924
144	0.05268905099
145	0.05253219696
146	0.05231926995
147	0.052081187
148	0.05195582584
149	0.05176615793
150	0.05165186036
151	0.05147996477
152	0.05117179485
153	0.05103886033
154	0.05094715725
155	0.05080726611
156	0.05052096647
157	0.05042321499
158	0.0502855113
159	0.05006082882
160	0.04985087789
161	0.04963632686
162	0.04946940297
163	0.04941263171
164	0.04908980721
165	0.04897128363
166	0.04884467719
167	0.04877033959
168	0.04854725528
169	0.04846932685
170	0.04835192434
171	0.04821722775
172	0.04806429633
173	0.04790984904
174	0.04779442368
175	0.04767466048
176	0.04756902847
177	0.04742047304
178	0.04732764575
179	0.0471752084
180	0.04706804083
181	0.04694805603
182	0.04666499238
183	0.0465310273
184	0.04640564213
185	0.04623700522
186	0.04616503944
187	0.0460354486
188	0.04588205579
189	0.04572877418
190	0.04559413244
191	0.04548330057
192	0.04536204388
193	0.04532695878
194	0.04521718379
195	0.04513005977
196	0.04489274715
197	0.04474099485
198	0.04471478429
199	0.04464660892
